"UniqueName","LocalizedNames_EN-US","LocalizedNames_ES-ES","LocalizedDescriptions_EN-US","LocalizedDescriptions_ES-ES"
"T4_ARTEFACT_OFF_TOWERSHIELD_UNDEAD","Adept's Ancient Shield Core","Núcleo de escudo antiguo del iniciado","Piece of an ancient and powerful weapon. Can be used to craft {0} of the same tier, or salvaged into {1}s.","Un trozo de un arma antigua y poderosa. Sirve para fabricar {0} del mismo nivel o reciclar para conseguir {1}."
"T5_ARTEFACT_OFF_TOWERSHIELD_UNDEAD","Expert's Ancient Shield Core","Núcleo de escudo antiguo del experto","Piece of an ancient and powerful weapon. Can be used to craft {0} of the same tier, or salvaged into {1}s.","Un trozo de un arma antigua y poderosa. Sirve para fabricar {0} del mismo nivel o reciclar para conseguir {1}."
"T6_ARTEFACT_OFF_TOWERSHIELD_UNDEAD","Master's Ancient Shield Core","Núcleo de escudo antiguo del maestro","Piece of an ancient and powerful weapon. Can be used to craft {0} of the same tier, or salvaged into {1}s.","Un trozo de un arma antigua y poderosa. Sirve para fabricar {0} del mismo nivel o reciclar para conseguir {1}."
"T7_ARTEFACT_OFF_TOWERSHIELD_UNDEAD","Grandmaster's Ancient Shield Core","Núcleo de escudo antiguo del gran maestro","Piece of an ancient and powerful weapon. Can be used to craft {0} of the same tier, or salvaged into {1}s.","Un trozo de un arma antigua y poderosa. Sirve para fabricar {0} del mismo nivel o reciclar para conseguir {1}."
"T8_ARTEFACT_OFF_TOWERSHIELD_UNDEAD","Elder's Ancient Shield Core","Núcleo de escudo antiguo del anciano","Piece of an ancient and powerful weapon. Can be used to craft {0} of the same tier, or salvaged into {1}s.","Un trozo de un arma antigua y poderosa. Sirve para fabricar {0} del mismo nivel o reciclar para conseguir {1}."
"T4_ARTEFACT_OFF_SHIELD_HELL","Adept's Infernal Shield Core","Núcleo de escudo infernal del iniciado","Piece of an ancient and powerful weapon. Can be used to craft {0} of the same tier, or salvaged into {1}s.","Un trozo de un arma antigua y poderosa. Sirve para fabricar {0} del mismo nivel o reciclar para conseguir {1}."
"T5_ARTEFACT_OFF_SHIELD_HELL","Expert's Infernal Shield Core","Núcleo de escudo infernal del experto","Piece of an ancient and powerful weapon. Can be used to craft {0} of the same tier, or salvaged into {1}s.","Un trozo de un arma antigua y poderosa. Sirve para fabricar {0} del mismo nivel o reciclar para conseguir {1}."
"T6_ARTEFACT_OFF_SHIELD_HELL","Master's Infernal Shield Core","Núcleo de escudo infernal del maestro","Piece of an ancient and powerful weapon. Can be used to craft {0} of the same tier, or salvaged into {1}s.","Un trozo de un arma antigua y poderosa. Sirve para fabricar {0} del mismo nivel o reciclar para conseguir {1}."
"T7_ARTEFACT_OFF_SHIELD_HELL","Grandmaster's Infernal Shield Core","Núcleo de escudo infernal del gran maestro","Piece of an ancient and powerful weapon. Can be used to craft {0} of the same tier, or salvaged into {1}s.","Un trozo de un arma antigua y poderosa. Sirve para fabricar {0} del mismo nivel o reciclar para conseguir {1}."
"T8_ARTEFACT_OFF_SHIELD_HELL","Elder's Infernal Shield Core","Núcleo de escudo infernal del anciano","Piece of an ancient and powerful weapon. Can be used to craft {0} of the same tier, or salvaged into {1}s.","Un trozo de un arma antigua y poderosa. Sirve para fabricar {0} del mismo nivel o reciclar para conseguir {1}."
"T4_ARTEFACT_OFF_SPIKEDSHIELD_MORGANA","Adept's Bloodforged Spikes","Púas forjadas con sangre del iniciado","Piece of an ancient and powerful weapon. Can be used to craft {0} of the same tier, or salvaged into {1}s.","Un trozo de un arma antigua y poderosa. Sirve para fabricar {0} del mismo nivel o reciclar para conseguir {1}."
"T5_ARTEFACT_OFF_SPIKEDSHIELD_MORGANA","Expert's Bloodforged Spikes","Púas forjadas con sangre del experto","Piece of an ancient and powerful weapon. Can be used to craft {0} of the same tier, or salvaged into {1}s.","Un trozo de un arma antigua y poderosa. Sirve para fabricar {0} del mismo nivel o reciclar para conseguir {1}."
"T6_ARTEFACT_OFF_SPIKEDSHIELD_MORGANA","Master's Bloodforged Spikes","Púas forjadas con sangre del maestro","Piece of an ancient and powerful weapon. Can be used to craft {0} of the same tier, or salvaged into {1}s.","Un trozo de un arma antigua y poderosa. Sirve para fabricar {0} del mismo nivel o reciclar para conseguir {1}."
"T7_ARTEFACT_OFF_SPIKEDSHIELD_MORGANA","Grandmaster's Bloodforged Spikes","Púas forjadas con sangre del gran maestro","Piece of an ancient and powerful weapon. Can be used to craft {0} of the same tier, or salvaged into {1}s.","Un trozo de un arma antigua y poderosa. Sirve para fabricar {0} del mismo nivel o reciclar para conseguir {1}."
"T8_ARTEFACT_OFF_SPIKEDSHIELD_MORGANA","Elder's Bloodforged Spikes","Púas forjadas con sangre del anciano","Piece of an ancient and powerful weapon. Can be used to craft {0} of the same tier, or salvaged into {1}s.","Un trozo de un arma antigua y poderosa. Sirve para fabricar {0} del mismo nivel o reciclar para conseguir {1}."
"T4_ARTEFACT_OFF_SHIELD_AVALON","Adept's Crushed Avalonian Heirloom","Reliquia avaloniana destruida del iniciado","Piece of an ancient and powerful weapon. Can be used to craft {0} of the same tier, or salvaged into {1}s.","Un trozo de un arma antigua y poderosa. Sirve para fabricar {0} del mismo nivel o reciclar para conseguir {1}."
"T5_ARTEFACT_OFF_SHIELD_AVALON","Expert's Crushed Avalonian Heirloom","Reliquia avaloniana destruida del experto","Piece of an ancient and powerful weapon. Can be used to craft {0} of the same tier, or salvaged into {1}s.","Un trozo de un arma antigua y poderosa. Sirve para fabricar {0} del mismo nivel o reciclar para conseguir {1}."
"T6_ARTEFACT_OFF_SHIELD_AVALON","Master's Crushed Avalonian Heirloom","Reliquia avaloniana destruida del maestro","Piece of an ancient and powerful weapon. Can be used to craft {0} of the same tier, or salvaged into {1}s.","Un trozo de un arma antigua y poderosa. Sirve para fabricar {0} del mismo nivel o reciclar para conseguir {1}."
"T7_ARTEFACT_OFF_SHIELD_AVALON","Grandmaster's Crushed Avalonian Heirloom","Reliquia avaloniana destruida del gran maestro","Piece of an ancient and powerful weapon. Can be used to craft {0} of the same tier, or salvaged into {1}s.","Un trozo de un arma antigua y poderosa. Sirve para fabricar {0} del mismo nivel o reciclar para conseguir {1}."
"T8_ARTEFACT_OFF_SHIELD_AVALON","Elder's Crushed Avalonian Heirloom","Reliquia avaloniana destruida del anciano","Piece of an ancient and powerful weapon. Can be used to craft {0} of the same tier, or salvaged into {1}s.","Un trozo de un arma antigua y poderosa. Sirve para fabricar {0} del mismo nivel o reciclar para conseguir {1}."
"T4_ARTEFACT_OFF_ORB_MORGANA","Adept's Alluring Crystal","Cristal tentador del iniciado","Piece of an ancient and powerful weapon. Can be used to craft {0} of the same tier, or salvaged into {1}s.","Un trozo de un arma antigua y poderosa. Sirve para fabricar {0} del mismo nivel o reciclar para conseguir {1}."
"T5_ARTEFACT_OFF_ORB_MORGANA","Expert's Alluring Crystal","Cristal tentador del experto","Piece of an ancient and powerful weapon. Can be used to craft {0} of the same tier, or salvaged into {1}s.","Un trozo de un arma antigua y poderosa. Sirve para fabricar {0} del mismo nivel o reciclar para conseguir {1}."
"T6_ARTEFACT_OFF_ORB_MORGANA","Master's Alluring Crystal","Cristal tentador del maestro","Piece of an ancient and powerful weapon. Can be used to craft {0} of the same tier, or salvaged into {1}s.","Un trozo de un arma antigua y poderosa. Sirve para fabricar {0} del mismo nivel o reciclar para conseguir {1}."
"T7_ARTEFACT_OFF_ORB_MORGANA","Grandmaster's Alluring Crystal","Cristal tentador del gran maestro","Piece of an ancient and powerful weapon. Can be used to craft {0} of the same tier, or salvaged into {1}s.","Un trozo de un arma antigua y poderosa. Sirve para fabricar {0} del mismo nivel o reciclar para conseguir {1}."
"T8_ARTEFACT_OFF_ORB_MORGANA","Elder's Alluring Crystal","Cristal tentador del anciano","Piece of an ancient and powerful weapon. Can be used to craft {0} of the same tier, or salvaged into {1}s.","Un trozo de un arma antigua y poderosa. Sirve para fabricar {0} del mismo nivel o reciclar para conseguir {1}."
"T4_ARTEFACT_OFF_DEMONSKULL_HELL","Adept's Demonic Jawbone","Quijada demoníaca del iniciado","Piece of an ancient and powerful weapon. Can be used to craft {0} of the same tier, or salvaged into {1}s.","Un trozo de un arma antigua y poderosa. Sirve para fabricar {0} del mismo nivel o reciclar para conseguir {1}."
"T5_ARTEFACT_OFF_DEMONSKULL_HELL","Expert's Demonic Jawbone","Quijada demoníaca del experto","Piece of an ancient and powerful weapon. Can be used to craft {0} of the same tier, or salvaged into {1}s.","Un trozo de un arma antigua y poderosa. Sirve para fabricar {0} del mismo nivel o reciclar para conseguir {1}."
"T6_ARTEFACT_OFF_DEMONSKULL_HELL","Master's Demonic Jawbone","Quijada demoníaca del maestro","Piece of an ancient and powerful weapon. Can be used to craft {0} of the same tier, or salvaged into {1}s.","Un trozo de un arma antigua y poderosa. Sirve para fabricar {0} del mismo nivel o reciclar para conseguir {1}."
"T7_ARTEFACT_OFF_DEMONSKULL_HELL","Grandmaster's Demonic Jawbone","Quijada demoníaca del gran maestro","Piece of an ancient and powerful weapon. Can be used to craft {0} of the same tier, or salvaged into {1}s.","Un trozo de un arma antigua y poderosa. Sirve para fabricar {0} del mismo nivel o reciclar para conseguir {1}."
"T8_ARTEFACT_OFF_DEMONSKULL_HELL","Elder's Demonic Jawbone","Quijada demoníaca del anciano","Piece of an ancient and powerful weapon. Can be used to craft {0} of the same tier, or salvaged into {1}s.","Un trozo de un arma antigua y poderosa. Sirve para fabricar {0} del mismo nivel o reciclar para conseguir {1}."
"T4_ARTEFACT_OFF_TOTEM_KEEPER","Adept's Inscribed Stone","Piedra inscrita del iniciado","Piece of an ancient and powerful weapon. Can be used to craft {0} of the same tier, or salvaged into {1}s.","Un trozo de un arma antigua y poderosa. Sirve para fabricar {0} del mismo nivel o reciclar para conseguir {1}."
"T5_ARTEFACT_OFF_TOTEM_KEEPER","Expert's Inscribed Stone","Piedra inscrita del experto","Piece of an ancient and powerful weapon. Can be used to craft {0} of the same tier, or salvaged into {1}s.","Un trozo de un arma antigua y poderosa. Sirve para fabricar {0} del mismo nivel o reciclar para conseguir {1}."
"T6_ARTEFACT_OFF_TOTEM_KEEPER","Master's Inscribed Stone","Piedra inscrita del maestro","Piece of an ancient and powerful weapon. Can be used to craft {0} of the same tier, or salvaged into {1}s.","Un trozo de un arma antigua y poderosa. Sirve para fabricar {0} del mismo nivel o reciclar para conseguir {1}."
"T7_ARTEFACT_OFF_TOTEM_KEEPER","Grandmaster's Inscribed Stone","Piedra inscrita del gran maestro","Piece of an ancient and powerful weapon. Can be used to craft {0} of the same tier, or salvaged into {1}s.","Un trozo de un arma antigua y poderosa. Sirve para fabricar {0} del mismo nivel o reciclar para conseguir {1}."
"T8_ARTEFACT_OFF_TOTEM_KEEPER","Elder's Inscribed Stone","Piedra inscrita del anciano","Piece of an ancient and powerful weapon. Can be used to craft {0} of the same tier, or salvaged into {1}s.","Un trozo de un arma antigua y poderosa. Sirve para fabricar {0} del mismo nivel o reciclar para conseguir {1}."
"T4_ARTEFACT_OFF_CENSER_AVALON","Adept's Severed Celestial Keepsake","Recuerdo celestial roto del iniciado","Piece of an ancient and powerful weapon. Can be used to craft {0} of the same tier, or salvaged into {1}s.","Un trozo de un arma antigua y poderosa. Sirve para fabricar {0} del mismo nivel o reciclar para conseguir {1}."
"T5_ARTEFACT_OFF_CENSER_AVALON","Expert's Severed Celestial Keepsake","Recuerdo celestial roto del experto","Piece of an ancient and powerful weapon. Can be used to craft {0} of the same tier, or salvaged into {1}s.","Un trozo de un arma antigua y poderosa. Sirve para fabricar {0} del mismo nivel o reciclar para conseguir {1}."
"T6_ARTEFACT_OFF_CENSER_AVALON","Master's Severed Celestial Keepsake","Recuerdo celestial roto del maestro","Piece of an ancient and powerful weapon. Can be used to craft {0} of the same tier, or salvaged into {1}s.","Un trozo de un arma antigua y poderosa. Sirve para fabricar {0} del mismo nivel o reciclar para conseguir {1}."
"T7_ARTEFACT_OFF_CENSER_AVALON","Grandmaster's Severed Celestial Keepsake","Recuerdo celestial roto del gran maestro","Piece of an ancient and powerful weapon. Can be used to craft {0} of the same tier, or salvaged into {1}s.","Un trozo de un arma antigua y poderosa. Sirve para fabricar {0} del mismo nivel o reciclar para conseguir {1}."
"T8_ARTEFACT_OFF_CENSER_AVALON","Elder's Severed Celestial Keepsake","Recuerdo celestial roto del anciano","Piece of an ancient and powerful weapon. Can be used to craft {0} of the same tier, or salvaged into {1}s.","Un trozo de un arma antigua y poderosa. Sirve para fabricar {0} del mismo nivel o reciclar para conseguir {1}."
"T4_ARTEFACT_OFF_HORN_KEEPER","Adept's Runed Horn","Cuerno rúnico del iniciado","Piece of an ancient and powerful weapon. Can be used to craft {0} of the same tier, or salvaged into {1}s.","Un trozo de un arma antigua y poderosa. Sirve para fabricar {0} del mismo nivel o reciclar para conseguir {1}."
"T5_ARTEFACT_OFF_HORN_KEEPER","Expert's Runed Horn","Cuerno rúnico del experto","Piece of an ancient and powerful weapon. Can be used to craft {0} of the same tier, or salvaged into {1}s.","Un trozo de un arma antigua y poderosa. Sirve para fabricar {0} del mismo nivel o reciclar para conseguir {1}."
"T6_ARTEFACT_OFF_HORN_KEEPER","Master's Runed Horn","Cuerno rúnico del maestro","Piece of an ancient and powerful weapon. Can be used to craft {0} of the same tier, or salvaged into {1}s.","Un trozo de un arma antigua y poderosa. Sirve para fabricar {0} del mismo nivel o reciclar para conseguir {1}."
"T7_ARTEFACT_OFF_HORN_KEEPER","Grandmaster's Runed Horn","Cuerno rúnico del gran maestro","Piece of an ancient and powerful weapon. Can be used to craft {0} of the same tier, or salvaged into {1}s.","Un trozo de un arma antigua y poderosa. Sirve para fabricar {0} del mismo nivel o reciclar para conseguir {1}."
"T8_ARTEFACT_OFF_HORN_KEEPER","Elder's Runed Horn","Cuerno rúnico del anciano","Piece of an ancient and powerful weapon. Can be used to craft {0} of the same tier, or salvaged into {1}s.","Un trozo de un arma antigua y poderosa. Sirve para fabricar {0} del mismo nivel o reciclar para conseguir {1}."
"T4_ARTEFACT_OFF_JESTERCANE_HELL","Adept's Hellish Handle","Empuñadura diabólica del iniciado","Piece of an ancient and powerful weapon. Can be used to craft {0} of the same tier, or salvaged into {1}s.","Un trozo de un arma antigua y poderosa. Sirve para fabricar {0} del mismo nivel o reciclar para conseguir {1}."
"T5_ARTEFACT_OFF_JESTERCANE_HELL","Expert's Hellish Handle","Empuñadura diabólica del experto","Piece of an ancient and powerful weapon. Can be used to craft {0} of the same tier, or salvaged into {1}s.","Un trozo de un arma antigua y poderosa. Sirve para fabricar {0} del mismo nivel o reciclar para conseguir {1}."
"T6_ARTEFACT_OFF_JESTERCANE_HELL","Master's Hellish Handle","Empuñadura diabólica del maestro","Piece of an ancient and powerful weapon. Can be used to craft {0} of the same tier, or salvaged into {1}s.","Un trozo de un arma antigua y poderosa. Sirve para fabricar {0} del mismo nivel o reciclar para conseguir {1}."
"T7_ARTEFACT_OFF_JESTERCANE_HELL","Grandmaster's Hellish Handle","Empuñadura diabólica del gran maestro","Piece of an ancient and powerful weapon. Can be used to craft {0} of the same tier, or salvaged into {1}s.","Un trozo de un arma antigua y poderosa. Sirve para fabricar {0} del mismo nivel o reciclar para conseguir {1}."
"T8_ARTEFACT_OFF_JESTERCANE_HELL","Elder's Hellish Handle","Empuñadura diabólica del anciano","Piece of an ancient and powerful weapon. Can be used to craft {0} of the same tier, or salvaged into {1}s.","Un trozo de un arma antigua y poderosa. Sirve para fabricar {0} del mismo nivel o reciclar para conseguir {1}."
"T4_ARTEFACT_OFF_LAMP_UNDEAD","Adept's Ghastly Candle","Candil abominable del iniciado","Piece of an ancient and powerful weapon. Can be used to craft {0} of the same tier, or salvaged into {1}s.","Un trozo de un arma antigua y poderosa. Sirve para fabricar {0} del mismo nivel o reciclar para conseguir {1}."
"T5_ARTEFACT_OFF_LAMP_UNDEAD","Expert's Ghastly Candle","Candil abominable del experto","Piece of an ancient and powerful weapon. Can be used to craft {0} of the same tier, or salvaged into {1}s.","Un trozo de un arma antigua y poderosa. Sirve para fabricar {0} del mismo nivel o reciclar para conseguir {1}."
"T6_ARTEFACT_OFF_LAMP_UNDEAD","Master's Ghastly Candle","Candil abominable del maestro","Piece of an ancient and powerful weapon. Can be used to craft {0} of the same tier, or salvaged into {1}s.","Un trozo de un arma antigua y poderosa. Sirve para fabricar {0} del mismo nivel o reciclar para conseguir {1}."
"T7_ARTEFACT_OFF_LAMP_UNDEAD","Grandmaster's Ghastly Candle","Candil abominable del gran maestro","Piece of an ancient and powerful weapon. Can be used to craft {0} of the same tier, or salvaged into {1}s.","Un trozo de un arma antigua y poderosa. Sirve para fabricar {0} del mismo nivel o reciclar para conseguir {1}."
"T8_ARTEFACT_OFF_LAMP_UNDEAD","Elder's Ghastly Candle","Candil abominable del anciano","Piece of an ancient and powerful weapon. Can be used to craft {0} of the same tier, or salvaged into {1}s.","Un trozo de un arma antigua y poderosa. Sirve para fabricar {0} del mismo nivel o reciclar para conseguir {1}."
"T4_ARTEFACT_OFF_TALISMAN_AVALON","Adept's Shattered Avalonian Memento","Recuerdo avaloniano destrozado del iniciado","Piece of an ancient and powerful weapon. Can be used to craft {0} of the same tier, or salvaged into {1}s.","Un trozo de un arma antigua y poderosa. Sirve para fabricar {0} del mismo nivel o reciclar para conseguir {1}."
"T5_ARTEFACT_OFF_TALISMAN_AVALON","Expert's Shattered Avalonian Memento","Recuerdo avaloniano destrozado del experto","Piece of an ancient and powerful weapon. Can be used to craft {0} of the same tier, or salvaged into {1}s.","Un trozo de un arma antigua y poderosa. Sirve para fabricar {0} del mismo nivel o reciclar para conseguir {1}."
"T6_ARTEFACT_OFF_TALISMAN_AVALON","Master's Shattered Avalonian Memento","Recuerdo avaloniano destrozado del maestro","Piece of an ancient and powerful weapon. Can be used to craft {0} of the same tier, or salvaged into {1}s.","Un trozo de un arma antigua y poderosa. Sirve para fabricar {0} del mismo nivel o reciclar para conseguir {1}."
"T7_ARTEFACT_OFF_TALISMAN_AVALON","Grandmaster's Shattered Avalonian Memento","Recuerdo avaloniano destrozado del gran maestro","Piece of an ancient and powerful weapon. Can be used to craft {0} of the same tier, or salvaged into {1}s.","Un trozo de un arma antigua y poderosa. Sirve para fabricar {0} del mismo nivel o reciclar para conseguir {1}."
"T8_ARTEFACT_OFF_TALISMAN_AVALON","Elder's Shattered Avalonian Memento","Recuerdo avaloniano destrozado del anciano","Piece of an ancient and powerful weapon. Can be used to craft {0} of the same tier, or salvaged into {1}s.","Un trozo de un arma antigua y poderosa. Sirve para fabricar {0} del mismo nivel o reciclar para conseguir {1}."
"T4_ARTEFACT_HEAD_PLATE_UNDEAD","Adept's Ancient Padding","Acolchado antiguo del iniciado","Piece of an ancient and powerful weapon. Can be used to craft {0} of the same tier, or salvaged into {1}s.","Un trozo de un arma antigua y poderosa. Sirve para fabricar {0} del mismo nivel o reciclar para conseguir {1}."
"T5_ARTEFACT_HEAD_PLATE_UNDEAD","Expert's Ancient Padding","Acolchado antiguo del experto","Piece of an ancient and powerful weapon. Can be used to craft {0} of the same tier, or salvaged into {1}s.","Un trozo de un arma antigua y poderosa. Sirve para fabricar {0} del mismo nivel o reciclar para conseguir {1}."
"T6_ARTEFACT_HEAD_PLATE_UNDEAD","Master's Ancient Padding","Acolchado antiguo del maestro","Piece of an ancient and powerful weapon. Can be used to craft {0} of the same tier, or salvaged into {1}s.","Un trozo de un arma antigua y poderosa. Sirve para fabricar {0} del mismo nivel o reciclar para conseguir {1}."
"T7_ARTEFACT_HEAD_PLATE_UNDEAD","Grandmaster's Ancient Padding","Acolchado antiguo del gran maestro","Piece of an ancient and powerful weapon. Can be used to craft {0} of the same tier, or salvaged into {1}s.","Un trozo de un arma antigua y poderosa. Sirve para fabricar {0} del mismo nivel o reciclar para conseguir {1}."
"T8_ARTEFACT_HEAD_PLATE_UNDEAD","Elder's Ancient Padding","Acolchado antiguo del anciano","Piece of an ancient and powerful weapon. Can be used to craft {0} of the same tier, or salvaged into {1}s.","Un trozo de un arma antigua y poderosa. Sirve para fabricar {0} del mismo nivel o reciclar para conseguir {1}."
"T4_ARTEFACT_ARMOR_PLATE_UNDEAD","Adept's Ancient Chain Rings","Cota de malla antigua del iniciado","Piece of an ancient and powerful weapon. Can be used to craft {0} of the same tier, or salvaged into {1}s.","Un trozo de un arma antigua y poderosa. Sirve para fabricar {0} del mismo nivel o reciclar para conseguir {1}."
"T5_ARTEFACT_ARMOR_PLATE_UNDEAD","Expert's Ancient Chain Rings","Cota de malla antigua del experto","Piece of an ancient and powerful weapon. Can be used to craft {0} of the same tier, or salvaged into {1}s.","Un trozo de un arma antigua y poderosa. Sirve para fabricar {0} del mismo nivel o reciclar para conseguir {1}."
"T6_ARTEFACT_ARMOR_PLATE_UNDEAD","Master's Ancient Chain Rings","Cota de malla antigua del maestro","Piece of an ancient and powerful weapon. Can be used to craft {0} of the same tier, or salvaged into {1}s.","Un trozo de un arma antigua y poderosa. Sirve para fabricar {0} del mismo nivel o reciclar para conseguir {1}."
"T7_ARTEFACT_ARMOR_PLATE_UNDEAD","Grandmaster's Ancient Chain Rings","Cota de malla antigua del gran maestro","Piece of an ancient and powerful weapon. Can be used to craft {0} of the same tier, or salvaged into {1}s.","Un trozo de un arma antigua y poderosa. Sirve para fabricar {0} del mismo nivel o reciclar para conseguir {1}."
"T8_ARTEFACT_ARMOR_PLATE_UNDEAD","Elder's Ancient Chain Rings","Cota de malla antigua del anciano","Piece of an ancient and powerful weapon. Can be used to craft {0} of the same tier, or salvaged into {1}s.","Un trozo de un arma antigua y poderosa. Sirve para fabricar {0} del mismo nivel o reciclar para conseguir {1}."
"T4_ARTEFACT_SHOES_PLATE_UNDEAD","Adept's Ancient Bindings","Ataduras antiguas del iniciado","Piece of an ancient and powerful weapon. Can be used to craft {0} of the same tier, or salvaged into {1}s.","Un trozo de un arma antigua y poderosa. Sirve para fabricar {0} del mismo nivel o reciclar para conseguir {1}."
"T5_ARTEFACT_SHOES_PLATE_UNDEAD","Expert's Ancient Bindings","Ataduras antiguas del experto","Piece of an ancient and powerful weapon. Can be used to craft {0} of the same tier, or salvaged into {1}s.","Un trozo de un arma antigua y poderosa. Sirve para fabricar {0} del mismo nivel o reciclar para conseguir {1}."
"T6_ARTEFACT_SHOES_PLATE_UNDEAD","Master's Ancient Bindings","Ataduras antiguas del maestro","Piece of an ancient and powerful weapon. Can be used to craft {0} of the same tier, or salvaged into {1}s.","Un trozo de un arma antigua y poderosa. Sirve para fabricar {0} del mismo nivel o reciclar para conseguir {1}."
"T7_ARTEFACT_SHOES_PLATE_UNDEAD","Grandmaster's Ancient Bindings","Ataduras antiguas del gran maestro","Piece of an ancient and powerful weapon. Can be used to craft {0} of the same tier, or salvaged into {1}s.","Un trozo de un arma antigua y poderosa. Sirve para fabricar {0} del mismo nivel o reciclar para conseguir {1}."
"T8_ARTEFACT_SHOES_PLATE_UNDEAD","Elder's Ancient Bindings","Ataduras antiguas del anciano","Piece of an ancient and powerful weapon. Can be used to craft {0} of the same tier, or salvaged into {1}s.","Un trozo de un arma antigua y poderosa. Sirve para fabricar {0} del mismo nivel o reciclar para conseguir {1}."
"T4_ARTEFACT_HEAD_PLATE_HELL","Adept's Demonic Scraps","Esquirlas demoníacas del iniciado","Piece of an ancient and powerful weapon. Can be used to craft {0} of the same tier, or salvaged into {1}s.","Un trozo de un arma antigua y poderosa. Sirve para fabricar {0} del mismo nivel o reciclar para conseguir {1}."
"T5_ARTEFACT_HEAD_PLATE_HELL","Expert's Demonic Scraps","Esquirlas demoníacas del experto","Piece of an ancient and powerful weapon. Can be used to craft {0} of the same tier, or salvaged into {1}s.","Un trozo de un arma antigua y poderosa. Sirve para fabricar {0} del mismo nivel o reciclar para conseguir {1}."
"T6_ARTEFACT_HEAD_PLATE_HELL","Master's Demonic Scraps","Esquirlas demoníacas del maestro","Piece of an ancient and powerful weapon. Can be used to craft {0} of the same tier, or salvaged into {1}s.","Un trozo de un arma antigua y poderosa. Sirve para fabricar {0} del mismo nivel o reciclar para conseguir {1}."
"T7_ARTEFACT_HEAD_PLATE_HELL","Grandmaster's Demonic Scraps","Esquirlas demoníacas del gran maestro","Piece of an ancient and powerful weapon. Can be used to craft {0} of the same tier, or salvaged into {1}s.","Un trozo de un arma antigua y poderosa. Sirve para fabricar {0} del mismo nivel o reciclar para conseguir {1}."
"T8_ARTEFACT_HEAD_PLATE_HELL","Elder's Demonic Scraps","Esquirlas demoníacas del anciano","Piece of an ancient and powerful weapon. Can be used to craft {0} of the same tier, or salvaged into {1}s.","Un trozo de un arma antigua y poderosa. Sirve para fabricar {0} del mismo nivel o reciclar para conseguir {1}."
"T4_ARTEFACT_ARMOR_PLATE_HELL","Adept's Demonic Plates","Placas demoníacas del iniciado","Piece of an ancient and powerful weapon. Can be used to craft {0} of the same tier, or salvaged into {1}s.","Un trozo de un arma antigua y poderosa. Sirve para fabricar {0} del mismo nivel o reciclar para conseguir {1}."
"T5_ARTEFACT_ARMOR_PLATE_HELL","Expert's Demonic Plates","Placas demoníacas del experto","Piece of an ancient and powerful weapon. Can be used to craft {0} of the same tier, or salvaged into {1}s.","Un trozo de un arma antigua y poderosa. Sirve para fabricar {0} del mismo nivel o reciclar para conseguir {1}."
"T6_ARTEFACT_ARMOR_PLATE_HELL","Master's Demonic Plates","Placas demoníacas del maestro","Piece of an ancient and powerful weapon. Can be used to craft {0} of the same tier, or salvaged into {1}s.","Un trozo de un arma antigua y poderosa. Sirve para fabricar {0} del mismo nivel o reciclar para conseguir {1}."
"T7_ARTEFACT_ARMOR_PLATE_HELL","Grandmaster's Demonic Plates","Placas demoníacas del gran maestro","Piece of an ancient and powerful weapon. Can be used to craft {0} of the same tier, or salvaged into {1}s.","Un trozo de un arma antigua y poderosa. Sirve para fabricar {0} del mismo nivel o reciclar para conseguir {1}."
"T8_ARTEFACT_ARMOR_PLATE_HELL","Elder's Demonic Plates","Placas demoníacas del anciano","Piece of an ancient and powerful weapon. Can be used to craft {0} of the same tier, or salvaged into {1}s.","Un trozo de un arma antigua y poderosa. Sirve para fabricar {0} del mismo nivel o reciclar para conseguir {1}."
"T4_ARTEFACT_SHOES_PLATE_HELL","Adept's Demonic Filling","Relleno demoníaco del iniciado","Piece of an ancient and powerful weapon. Can be used to craft {0} of the same tier, or salvaged into {1}s.","Un trozo de un arma antigua y poderosa. Sirve para fabricar {0} del mismo nivel o reciclar para conseguir {1}."
"T5_ARTEFACT_SHOES_PLATE_HELL","Expert's Demonic Filling","Relleno demoníaco del experto","Piece of an ancient and powerful weapon. Can be used to craft {0} of the same tier, or salvaged into {1}s.","Un trozo de un arma antigua y poderosa. Sirve para fabricar {0} del mismo nivel o reciclar para conseguir {1}."
"T6_ARTEFACT_SHOES_PLATE_HELL","Master's Demonic Filling","Relleno demoníaco del maestro","Piece of an ancient and powerful weapon. Can be used to craft {0} of the same tier, or salvaged into {1}s.","Un trozo de un arma antigua y poderosa. Sirve para fabricar {0} del mismo nivel o reciclar para conseguir {1}."
"T7_ARTEFACT_SHOES_PLATE_HELL","Grandmaster's Demonic Filling","Relleno demoníaco del gran maestro","Piece of an ancient and powerful weapon. Can be used to craft {0} of the same tier, or salvaged into {1}s.","Un trozo de un arma antigua y poderosa. Sirve para fabricar {0} del mismo nivel o reciclar para conseguir {1}."
"T8_ARTEFACT_SHOES_PLATE_HELL","Elder's Demonic Filling","Relleno demoníaco del anciano","Piece of an ancient and powerful weapon. Can be used to craft {0} of the same tier, or salvaged into {1}s.","Un trozo de un arma antigua y poderosa. Sirve para fabricar {0} del mismo nivel o reciclar para conseguir {1}."
